Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1884,Ontario,NA,NA,377,NA,NA,NA,NA,0
1884,Saint Clair,NA,NA,NA,145,NA,NA,NA,NA
1884,Superior,NA,NA,646,11,NA,NA,NA,NA
1885,Erie,NA,NA,NA,2705,NA,NA,NA,1602
1885,Huron,NA,NA,9054,2342,NA,NA,NA,NA
1885,Michigan,NA,252,6431,675,NA,NA,NA,NA
1885,Ontario,NA,NA,329,NA,NA,NA,NA,0
1885,Saint Clair,NA,NA,NA,308,NA,NA,NA,NA
1885,Superior,NA,NA,4400,284,NA,NA,NA,NA
1886,Erie,NA,NA,NA,0,NA,NA,NA,0
1886,Huron,NA,NA,3318,515,NA,NA,NA,NA
1886,Michigan,NA,0,0,0,NA,NA,NA,NA
1886,Ontario,NA,NA,236,NA,NA,NA,NA,0
1886,Saint Clair,NA,NA,NA,70,NA,NA,NA,NA
1886,Superior,NA,NA,842,153,NA,NA,NA,NA
1887,Erie,NA,NA,NA,0,NA,NA,NA,0
1887,Huron,NA,NA,3231,305,NA,NA,NA,NA
1887,Michigan,NA,0,0,0,NA,NA,NA,NA
1887,Ontario,NA,NA,117,NA,NA,NA,NA,0
1887,Saint Clair,NA,NA,NA,90,NA,NA,NA,NA
1887,Superior,NA,NA,703,69,NA,NA,NA,NA
1888,Erie,NA,NA,NA,0,NA,NA,NA,0
1888,Huron,NA,NA,3607,638,NA,NA,NA,NA
1888,Michigan,NA,0,0,0,NA,NA,NA,NA
1888,Ontario,NA,NA,97,NA,NA,NA,NA,0
1888,Saint Clair,NA,NA,NA,92,NA,NA,NA,NA
1888,Superior,NA,NA,971,90,NA,NA,NA,NA
1889,Erie,NA,1072,NA,55,NA,NA,NA,3830
1889,Huron,NA,1007,5990,3174,NA,NA,NA,2417
1889,Michigan,NA,1729,5580,489,NA,NA,NA,2182
1889,Ontario,NA,74,134,NA,NA,NA,NA,85
1889,Saint Clair,NA,139,NA,364,NA,NA,NA,217
1889,Superior,NA,1,4388,240,NA,NA,NA,NA
1890,Erie,NA,0,NA,2152,NA,NA,NA,2900
1890,Huron,NA,1110,6657,2377,NA,NA,NA,1818
1890,Michigan,NA,1801,8365,566,NA,NA,NA,1944
1890,Ontario,NA,279,146,NA,NA,NA,NA,359
1890,Saint Clair,NA,0,NA,562,NA,NA,NA,734
1890,Superior,NA,0,3305,116,NA,NA,NA,NA
1891,Erie,NA,124,NA,83,NA,NA,NA,0
1891,Huron,NA,2074,10270,4443,NA,NA,NA,2592
1891,Michigan,NA,45,3686,128,NA,NA,NA,68
1891,Ontario,NA,0,169,NA,NA,NA,NA,0
1891,Saint Clair,NA,187,NA,872,NA,NA,NA,830
1891,Superior,NA,0,3806,135,NA,NA,NA,NA
1892,Erie,NA,77,NA,173,NA,NA,20,138
1892,Huron,NA,3674,9857,3724,NA,NA,NA,3656
1892,Michigan,NA,222,6437,220,NA,NA,NA,2645
1892,Ontario,NA,0,195,NA,NA,NA,NA,0
1892,Saint Clair,NA,228,NA,816,NA,NA,NA,342
1892,Superior,NA,11,3655,72,NA,NA,NA,NA
1893,Erie,NA,296,NA,107,NA,0,0,223
1893,Huron,NA,4692,10592,2764,NA,NA,NA,3504
1893,Michigan,NA,450,8526,184,NA,0,0,1159
1893,Ontario,NA,48,246,NA,NA,NA,NA,131
1893,Saint Clair,NA,0,NA,449,NA,NA,NA,0
1893,Superior,NA,16,5471,93,NA,NA,NA,NA
1894,Erie,NA,274,NA,233,NA,0,226,718
1894,Huron,NA,5944,9245,4493,NA,NA,NA,4131
1894,Michigan,NA,189,8533,190,NA,0,0,6515
1894,Ontario,NA,0,161,NA,NA,NA,NA,185
1894,Saint Clair,NA,237,NA,509,NA,NA,NA,322
1894,Superior,NA,3,5151,83,NA,NA,NA,NA
1895,Erie,NA,277,NA,429,NA,0,0,652
1895,Huron,NA,6732,8263,3013,NA,NA,NA,3645
1895,Michigan,NA,282,7696,304,NA,0,0,5959
1895,Ontario,NA,0,106,NA,NA,NA,NA,242
1895,Saint Clair,NA,73,NA,407,NA,NA,NA,145
1895,Superior,NA,0,5104,31,NA,NA,NA,NA
1896,Erie,NA,271,NA,591,NA,0,0,676
1896,Huron,NA,2774,7522,2978,NA,NA,NA,3295
1896,Michigan,NA,187,9020,303,NA,0,0,6364
1896,Ontario,NA,0,161,NA,NA,NA,NA,373
