"Community","Functional.Class","avg_speed.x","total_volume.x","N.x","avg_speed.y","total_volume.y","N.y","nonfatal_injuries","fatal_injuries","change_in_speed","change_in_volume","change_in_accidents"
"clarksburg","Arterial",29.3568523430592,11310,5,29.901031629067,8676,NA,NA,NA,0.5441792860078,-2634,NA
"clarksburg","Collector",42.1688768054481,642569,NA,44.4900707905204,825393,NA,NA,NA,2.3211939850723,182824,NA
"colrain","Arterial",45.2130192867645,34712,NA,49.4019555555556,28180,NA,NA,NA,4.1889362687911,-6532,NA
"concord","Arterial",13.1390153191184,7022752,7,33.8617342958397,1580457,NA,NA,NA,20.7227189767213,-5442295,NA
"dalton","Arterial",38.5924467879574,32265,3,43.3211336569982,48079,NA,NA,NA,4.7286868690408,15814,NA
"dartmouth","Arterial",33.1604107373055,78348,42,30.4588258421416,53249,28,0,0,-2.7015848951639,-25099,-14
"dartmouth","Collector",33.5861034537668,117221,10,35.5748106757317,109686,15,0,0,1.98870722196489,-7535,5
"dedham","Arterial",29.128514491184,23083,22,29.3890518886842,75164,15,0,0,0.260537397500201,52081,-7
"dennis","Arterial",30.743001473374,28507,20,33.0491076830996,25100,9,0,0,2.3061062097256,-3407,-11
"dighton","Arterial",32.0757299438487,16354,14,41.4415445183996,37016,15,0,0,9.3658145745509,20662,1
"dracut","Arterial",31.8651369236932,39495,31,33.1224362287861,138102,25,0,0,1.2572993050929,98607,-6
"dunstable","Arterial",39.228303043559,38127,NA,31.0632788280348,32912,1,0,0,-8.1650242155242,-5215,NA
"duxbury","Arterial",30.3020646885291,76867,16,39.4530553379474,19570,16,0,0,9.1509906494183,-57297,0
"east bridgewater","Arterial",41.8866026154257,18735,60,38.9154247665755,102219,43,0,0,-2.9711778488502,83484,-17
"east longmeadow","Collector",31.0075620924102,14414,NA,22.7446693029387,25795,NA,NA,NA,-8.2628927894715,11381,NA
"easthampton","Arterial",36.242469103365,65874,31,33.5270367084508,102447,18,2,0,-2.7154323949142,36573,-13
"easthampton","Collector",32.0564159292035,4520,NA,31.1594382486576,14526,NA,NA,NA,-0.896977680545902,10006,NA
"easton","Arterial",36.2900734439279,217879,12,36.6563171716337,181946,37,0,0,0.3662437277058,-35933,25
"easton","Collector",33.001427566638,65787,4,35.0707592503409,63065,10,0,0,2.0693316837029,-2722,6
"edgartown","Arterial",39.8697769627079,693204,NA,39.1122522454882,6436092,NA,NA,NA,-0.757524717219702,5742888,NA
"erving","Arterial",30.2256898881044,25178,6,43.6408159027922,75892,5,0,0,13.4151260146878,50714,-1
"erving","Collector",28.3045711350796,1947,NA,20.9030303030303,825,1,0,0,-7.4015408320493,-1122,NA
"fairhaven","Arterial",32.7796894776035,119259,15,31.6068215456239,122631,7,0,0,-1.1728679319796,3372,-8
"fairhaven","Collector",26.8127622516032,25262,NA,34.2128024193548,4960,NA,NA,NA,7.4000401677516,-20302,NA
"fall river","Arterial",22.5243296065908,90334,388,30.6507447868883,348713,326,0,1,8.1264151802975,258379,-62
"fall river","Collector",23.5404209802406,68968,66,26.8375235010826,113480,52,0,0,3.297102520842,44512,-14
"falmouth","Arterial",28.8767923171291,130566,61,26.3735960167213,73884,50,0,0,-2.5031963004078,-56682,-11
"falmouth","Collector",26.7984082840405,9247,NA,23.716080037603,10585,10,0,0,-3.0823282464375,1338,NA
"fitchburg","Arterial",28.1035532167076,31166,590,37.979868435976,26451,406,0,0,9.8763152192684,-4715,-184
"florida","Arterial",44.6741213853823,8118,NA,35.0990881458967,3290,NA,NA,NA,-9.5750332394856,-4828,NA
"foxborough","Interstate",36.4147811204213,55786195,76,70.2648546608087,84185596,45,0,0,33.8500735403874,28399401,-31
"framingham","Collector",34.1066803608109,11197,7,31.2011952156541,24292,1,1,0,-2.9054851451568,13095,-6
"framingham","Interstate",57.1595457870245,40837293,NA,60.8744537782609,28734034,NA,NA,NA,3.7149079912364,-12103259,NA
"franklin","Arterial",29.5154494968367,54929,19,32.4824208331313,20621,5,0,0,2.9669713362946,-34308,-14
"freetown","Arterial",39.3483277742721,6596,4,30.1088384184865,29951,7,0,0,-9.2394893557856,23355,3
"freetown","Collector",35.1757804529688,19604,2,35.3793454431569,12772,NA,NA,NA,0.203564990188099,-6832,NA
"georgetown","Interstate",72.4234321355276,6131728,NA,73.9446800602685,19545104,NA,NA,NA,1.52124792474089,13413376,NA
"greenfield","Arterial",34.8142878033451,130082,31,31.0045883124931,97264,23,0,0,-3.809699490852,-32818,-8
"greenfield","Collector",26.8913678711577,100709,9,31.5610042158338,17534,NA,NA,NA,4.6696363446761,-83175,NA
"greenfield","Freeway & Expressway",62.52419882276,21406,1,68.3335983993433,19492,1,0,0,5.8093995765833,-1914,0
"groton","Arterial",37.6322765538241,5583,54,35.8258403397313,37473,52,0,0,-1.8064362140928,31890,-2
"hadley","Arterial",37.2756357293675,21789,68,38.3869163424124,28790,35,0,0,1.1112806130449,7001,-33
"hancock","Collector",52.2354877377134,154335,NA,54.6029105425372,1033072,NA,NA,NA,2.3674228048238,878737,NA
"hanover","Arterial",37.6093924017098,207729,26,35.6097543558983,21006,NA,NA,NA,-1.99963804581149,-186723,NA
"hanson","Arterial",34.9765777227487,42761,2,33.9788497884979,22222,4,0,0,-0.997727934250804,-20539,2
"hardwick","Arterial",42.8403326081838,24971,4,45.0491201694009,26250,4,0,0,2.2087875612171,1279,0
"hatfield","Interstate",63.919149207336,11252316,1,65.7093776945908,7077884,NA,NA,NA,1.7902284872548,-4174432,NA
"haverhill","Arterial",32.6362431755288,109869,187,36.4332141633134,1885831,107,0,0,3.7969709877846,1775962,-80
"haverhill","Local Road",20.7076843962562,32567,18,25.216590892958,31078,14,0,0,4.5089064967018,-1489,-4
"hawley","Collector",36.8531082616458,6161,1,33.6334951456311,2060,1,0,0,-3.2196131160147,-4101,0
"hingham","Arterial",29.9875536452966,74974,58,31.9280709948622,4282,46,0,0,1.9405173495656,-70692,-12
"holden","Arterial",35.4858768117877,72242,64,44.8865376281959,13852,21,0,0,9.40066081640821,-58390,-43
"holliston","Arterial",35.7628075651855,10892,17,37.5883053478458,58674,10,0,0,1.8254977826603,47782,-7
"holyoke","Arterial",32.0470345218416,30433,253,29.9203541501221,128010,209,0,0,-2.1266803717195,97577,-44
"holyoke","Collector",29.1845794392523,8988,17,29.3094182102792,15336,15,0,0,0.124838771026901,6348,-2
"hopedale","Arterial",35.8894317120483,27838,10,38.3676432356478,27863,11,0,0,2.4782115235995,25,1
"hopkinton","Arterial",37.2212515052278,54502,11,37.4183280568153,11687,4,0,0,0.1970765515875,-42815,-7
"hopkinton","Interstate",36.5739580870453,35696394,38,61.267965506814,25865107,35,0,0,24.6940074197687,-9831287,-3
"hubbardston","Arterial",52.8324060023605,17444,2,48.8844221105528,11741,10,0,0,-3.9479838918077,-5703,8
"hudson","Arterial",26.9718452106737,28219,10,36.0760835913313,6460,18,0,0,9.1042383806576,-21759,8
"huntington","Arterial",42.4261174577666,1054573,NA,37.2561047638871,1075973,NA,NA,NA,-5.1700126938795,21400,NA
"kingston","Arterial",43.1587590355601,20613,61,38.3631284916201,12172,45,0,0,-4.79563054394,-8441,-16
"lakeville","Arterial",33.3739045170931,77493,27,31.7714176089698,27842,18,0,0,-1.6024869081233,-49651,-9
"lanesborough","Arterial",45.9102399786483,1587624,6,44.7693512322303,1671939,2,0,0,-1.140888746418,84315,-4
"lee","Arterial",30.5048606288705,867642,7,41.6317870261699,2042563,NA,NA,NA,11.1269263972994,1174921,NA
"lee","Interstate",62.8550079106189,6264734,NA,63.1545983000619,6557125,NA,NA,NA,0.299590389442997,292391,NA
"lenox","Arterial",45.846254212662,4885860,2,46.3744180983764,10937387,4,0,0,0.528163885714406,6051527,2
"leominster","Arterial",20.5447357751047,7399,316,30.0585157751441,70641,262,0,0,9.5137800000394,63242,-54
"leyden","Collector",34.3904711557523,7737,NA,38.3003424657534,2891,NA,NA,NA,3.9098713100011,-4846,NA
"lowell","Arterial",29.7401047809145,327741,360,30.8635970822608,164425,240,13,0,1.1234923013463,-163316,-120
"lowell","Freeway & Expressway",43.1062916653276,76578,21,54.2963254571917,2788356,37,0,0,11.1900337918641,2711778,16
"ludlow","Arterial",37.3489870682681,55308,30,26.7917529330573,28987,23,0,0,-10.5572341352108,-26321,-7
"ludlow","Interstate",65.2288826323928,30164150,9,65.827139153738,28622910,NA,NA,NA,0.598256521345206,-1541240,NA
"lunenburg","Arterial",33.488812937849,32068,73,39.2333588542605,22204,27,0,0,5.7445459164115,-9864,-46
"lynnfield","Interstate",58.9374596401621,25892726,13,64.1627134775905,39151292,12,0,0,5.2252538374284,13258566,-1
"mansfield","Arterial",9.71253524181306,12262,168,32.4228180412442,115420,90,0,0,22.7102827994311,103158,-78
"mansfield","Collector",32.1003794907853,40018,15,30.6569783284325,25841,14,0,0,-1.4434011623528,-14177,-1
"mansfield","Interstate",39.2153613444507,6285660,92,71.5428479779959,19885212,38,0,0,32.3274866335452,13599552,-54
"marlborough","Interstate",35.4681378399721,3489447,10,63.770918340474,19911616,4,0,0,28.3027805005019,16422169,-6
"marshfield","Arterial",35.5399640128302,38347,5,36.5545822102426,10388,8,0,0,1.0146181974124,-27959,3
"mashpee","Collector",34.8951328474018,4253,NA,36.1682762657302,3409,2,0,0,1.2731434183284,-844,NA
"medway","Interstate",70.2077414772727,18448796,NA,71.7838871978992,23347184,NA,NA,NA,1.5761457206265,4898388,NA
"methuen","Arterial",40.9185097201005,48835,81,32.1748861655327,164117,54,0,0,-8.7436235545678,115282,-27
"methuen","Freeway & Expressway",26.9108268548062,81572,7,34.5087916111823,579444,10,0,0,7.5979647563761,497872,3
"middleborough","Arterial",31.8824358293614,144661,58,32.7171727518644,15096,64,0,0,0.834736922503005,-129565,6
"middleborough","Collector",34.1143070506395,27367,2,41.0453374549201,7768,5,0,0,6.9310304042806,-19599,3
"milford","Arterial",31.8310357270443,66339,70,35.5026920401142,91308,68,2,0,3.6716563130699,24969,-2
"milton","Arterial",40.7513409696508,28897,75,37.6165460444223,28049,41,0,0,-3.1347949252285,-848,-34
"monson","Arterial",32.8500263553776,35513,NA,27.9274553269097,33134,NA,NA,NA,-4.9225710284679,-2379,NA
"montague","Arterial",34.1020311462868,242000,4,35.1949382666954,89359,NA,NA,NA,1.0929071204086,-152641,NA
"montague","Collector",32.9049688241745,77478,NA,32.5167624800847,21876,2,0,0,-0.388206344089802,-55602,NA
"natick","Collector",31.8066061522945,5949,NA,28.0599812996727,10695,NA,NA,NA,-3.7466248526218,4746,NA
"needham","Arterial",30.5086643247331,70883,24,28.6207739038563,22716,31,3,0,-1.8878904208768,-48167,7
"new bedford","Arterial",26.0243361892197,539086,354,27.4845149786825,NA,361,0,0,1.4601787894628,NA,7
"new bedford","Collector",32.3583607897838,41585,38,28.3002660079502,46117,30,0,0,-4.0580947818336,4532,-8
"new bedford","Interstate",62.6522600326448,9727676,1,66.4470893328855,16023490,6,0,0,3.7948293002407,6295814,5
"new marlborough","Collector",36.0008745080892,2287,NA,31.1777777777778,2475,NA,NA,NA,-4.8230967303114,188,NA
"newbury","Interstate",73.8148821708351,31958343,NA,73.1611403975232,37464107,NA,NA,NA,-0.653741773311907,5505764,NA
"newton","Interstate",53.4851970791055,46869902,28,59.0623436080373,31273468,25,0,0,5.57714652893181,-15596434,-3
"north adams","Arterial",25.0084719380032,57894,31,34.3638197713517,6795,15,0,0,9.3553478333485,-51099,-16
"north adams","Collector",20.7741696172988,30785,33,22.1032375395713,17597,12,0,0,1.3290679222725,-13188,-21
"north andover","Arterial",38.2447660276494,NA,98,37.7029007925985,67878,65,0,1,-0.541865235050899,NA,-33
"north attleborough","Arterial",23.4743360861077,62781,93,35.8463166879224,114967,45,0,0,12.3719806018147,52186,-48
"north attleborough","Collector",31.2642299560763,17416,13,23.7207649702163,9569,5,0,0,-7.54346498586,-7847,-8
"northampton","Arterial",27.1457884388349,137748,97,29.0476488278992,241482,46,0,0,1.9018603890643,103734,-51
"northampton","Interstate",66.1822361262722,6720500,NA,68.8248044099442,17825674,NA,NA,NA,2.64256828367201,11105174,NA
"northampton","Local Road",22.0344967121009,21563,1,23.3003902037364,14091,4,0,0,1.2658934916355,-7472,3
"northborough","Collector",32.2081636361734,72658,7,32.8790675084993,8236,2,0,0,0.670903872325894,-64422,-5
"northfield","Arterial",39.4319483586485,205899,NA,41.7942914623413,7953,NA,NA,NA,2.3623431036928,-197946,NA
"northfield","Collector",40.399693498298,37696,NA,37.5834672821139,28243,NA,NA,NA,-2.8162262161841,-9453,NA
"northfield","Local Road",29.7578527083759,9376,NA,27.2445273793826,2826,NA,NA,NA,-2.5133253289933,-6550,NA
"norton","Collector",39.3377758162482,39014,5,37.7051619338712,97955,NA,NA,NA,-1.63261388237699,58941,NA
"oak bluffs","Arterial",38.1971595083011,102095,NA,34.6766628983366,1460417,NA,NA,NA,-3.5204966099645,1358322,NA
"orange","Collector",36.4449138667505,32652,NA,36.5157079789732,37007,NA,NA,NA,0.0707941122226998,4355,NA
"paxton","Arterial",35.4094824144089,1512593,18,38.9689074415368,1551416,9,0,0,3.5594250271279,38823,-9
"pelham","Collector",37.9152907394113,4603,NA,31.97949619215,6828,NA,NA,NA,-5.9357945472613,2225,NA
"pembroke","Local Road",28.2169886818338,8747,NA,30.1403269754768,2195,2,0,0,1.923338293643,-6552,NA
"petersham","Arterial",42.2169334726442,9537,NA,48.44150893796,3804,NA,NA,NA,6.2245754653158,-5733,NA
"pittsfield","Arterial",38.9673614208928,4575104,55,27.1316082014109,5627175,80,1,0,-11.8357532194819,1052071,25
"pittsfield","Local Road",26.1429114405169,2631,2,26.0782726045884,3685,4,0,0,-0.0646388359285019,1054,2
"plainville","Arterial",24.5733461403732,2678216,6,42.9470938466447,5424721,19,0,0,18.3737477062715,2746505,13
"plymouth","Collector",37.7867812918498,20374,21,39.9205651040592,54425,14,0,0,2.1337838122094,34051,-7
"provincetown","Arterial",13.3811741625783,80158,22,14.8684066435481,10958,5,0,0,1.4872324809698,-69200,-17
"provincetown","Collector",18.2660195163851,47390,NA,36.6367249602544,2509,NA,NA,NA,18.3707054438693,-44881,NA
"randolph","Arterial",34.7894657475226,23210,48,33.0894456289979,9380,28,17,0,-1.7000201185247,-13830,-20
"raynham","Arterial",38.5381526104418,13695,29,35.7225967685691,17209,21,0,0,-2.8155558418727,3514,-8
"rehoboth","Arterial",39.7810286177625,82162,17,40.8897867675513,2589728,20,0,0,1.1087581497888,2507566,3
"revere","Freeway & Expressway",61.8744680782435,12171661,24,65.0620130248954,22363255,18,0,0,3.1875449466519,10191594,-6
"rochester","Collector",34.0955022098969,11539,5,38.5273624748294,56126,2,0,0,4.4318602649325,44587,-3
"rockland","Arterial",52.3357254989908,8918,3,38.6666876289225,29265,2,0,0,-13.6690378700683,20347,-1
"russell","Arterial",47.3010691155204,1445201,NA,52.7373792965844,1299667,1,0,0,5.436310181064,-145534,NA
"rutland","Arterial",39.1919486063267,11858,33,36.5497347480106,8294,16,0,0,-2.6422138583161,-3564,-17
"salisbury","Interstate",65.2384684195218,8408184,1,68.2691679029236,30260720,2,0,0,3.0306994834018,21852536,1
"sandisfield","Arterial",47.0067991013561,864575,NA,55.2174882438787,937384,NA,NA,NA,8.2106891425226,72809,NA
"sandwich","Collector",31.3630672926448,3195,NA,29.8489472439082,8347,NA,NA,NA,-1.5141200487366,5152,NA
"scituate","Arterial",32.8562809680121,36628,1,25.9633207794334,6107,1,0,0,-6.8929601885787,-30521,0
"seekonk","Collector",38.0547501854224,14831,NA,43.6067012365377,12541,1,0,0,5.5519510511153,-2290,NA
