"Community","Functional.Class","avg_speed.x","total_volume.x","N.x","avg_speed.y","total_volume.y","N.y","nonfatal_injuries","fatal_injuries","change_in_speed","change_in_volume","change_in_accidents"
"west tisbury","Collector",37.3222916972754,374482,NA,36.8361759688637,3880939,NA,NA,NA,-0.486115728411704,3506457,NA
"westborough","Arterial",36.9187450240874,4837445,54,43.0176785315589,15203880,19,0,0,6.0989335074715,10366435,-35
"westborough","Collector",30.3938026620747,41139,2,34.7036435975291,19108,2,0,0,4.3098409354544,-22031,0
"westfield","Arterial",35.6071241269227,56953,46,34.0280461336142,91567,47,0,0,-1.5790779933085,34614,1
"westfield","Collector",33.6047740132641,18089,7,34.4908250174461,30706,3,0,0,0.886051004182001,12617,-4
"westfield","Interstate",59.6484412045091,16867344,21,60.6119451125428,13214085,9,0,0,0.963503908033701,-3653259,-12
"westford","Arterial",17.332144742521,40588,70,36.458393960346,69690,34,0,0,19.126249217825,29102,-36
"westhampton","Collector",37.6214765561592,6796,5,24.0478468899522,1045,2,2,0,-13.573629666207,-5751,-3
"weston","Interstate",57.0895492737616,47306811,50,60.9300112030483,34062747,45,0,0,3.8404619292867,-13244064,-5
"westport","Collector",36.7445275944884,57191,6,35.0761661090337,10163,2,0,0,-1.6683614854547,-47028,-4
"whately","Collector",41.2421411244061,87346,2,36.1527967942872,60847,1,0,0,-5.08934433011891,-26499,-1
"whitman","Arterial",39.2343326477696,45041,60,31.9672371327291,121191,66,0,0,-7.2670955150405,76150,6
"williamsburg","Arterial",45.6367184566228,24283,4,37.2676797452716,48674,6,0,0,-8.3690387113512,24391,2
"williamstown","Arterial",35.2171383798804,67441,1,35.5503230238579,19374,7,0,0,0.333184643977496,-48067,6
"wilmington","Interstate",69.633143575013,66898663,1,68.9844168175141,44521821,6,0,1,-0.648726757498892,-22376842,5
"windsor","Arterial",51.9223186559342,636245,1,54.3864647710681,1030449,NA,NA,NA,2.4641461151339,394204,NA
"woburn","Interstate",55.9393049256037,7979516,7,60.3191668307807,113577735,2,0,0,4.379861905177,105598219,-5
"worcester","Arterial",31.4715198046568,403529,834,38.3894062936459,12477785,555,22,0,6.9178864889891,12074256,-279
"worcester","Collector",27.5931462882578,71966,188,31.1934504548263,34181,151,4,0,3.6003041665685,-37785,-37
"worcester","Interstate",56.4839716943697,36095744,53,62.4354249188812,85678483,61,0,0,5.9514532245115,49582739,8
"yarmouth","Arterial",31.3986051903984,101888,44,30.490285453324,108347,32,0,0,-0.9083197370744,6459,-12
"yarmouth","Collector",28.2841008294305,9757,2,25.0040162315495,5467,NA,NA,NA,-3.280084597881,-4290,NA
